Brand,Material,Size,Compartments,Laptop Compartment,Waterproof,Style,Color,Weight Capacity (kg),Price
Puma,Leather,,7.0,Yes,Yes,Tote,Red,28.86175590973413,20.92136307792337
Under Armour,,Small,7.0,Yes,Yes,Messenger,Blue,26.610180027978817,79.51871345470728
Puma,Canvas,Medium,10.0,No,Yes,Backpack,Gray,23.64910287207151,17.748933198435573
Nike,,Small,8.0,No,Yes,Tote,Black,28.044917831771368,51.93244866750888
Adidas,Leather,Medium,,Yes,,Tote,Black,5.0,82.89218312382857
Jansport,Polyester,Medium,6.0,Yes,Yes,Messenger,,28.487671772064218,41.65897099491919
Nike,Leather,Small,9.0,Yes,Yes,Messenger,Gray,15.737935568573898,137.8744101178813
Jansport,Leather,Small,1.0,,No,Backpack,Black,17.587550717183134,107.06353009410826
Under Armour,Canvas,Large,10.0,No,No,Tote,Pink,,123.06507521372866
Adidas,Nylon,Small,4.0,No,,Messenger,Green,27.763997415923345,
Under Armour,Polyester,Large,8.0,Yes,Yes,Backpack,Black,28.69440448915084,124.8571632004392
Under Armour,Polyester,,8.0,,Yes,Messenger,Red,28.87339707063275,78.61278716902754
Adidas,Polyester,Large,10.0,Yes,No,Tote,,6.025222928148462,
Jansport,Leather,Large,8.0,Yes,No,,Pink,19.56814502159588,62.13499934831832
Adidas,Leather,Small,2.0,No,Yes,Messenger,Gray,21.09564301648566,37.6820933646104
Jansport,Leather,Medium,4.0,Yes,Yes,Backpack,Gray,27.072646440491468,90.65269215768612
Puma,Polyester,Medium,8.0,No,No,Messenger,Blue,,119.0667201998287
Puma,Nylon,Small,3.0,Yes,No,Backpack,Blue,18.757181219525705,112.84329007277996
Adidas,Polyester,Medium,4.0,No,Yes,Tote,Red,24.17909737154797,44.21010289440452
Nike,Leather,Medium,5.0,No,No,Backpack,Gray,26.877944224753406,75.77394890718429
Adidas,Polyester,Large,10.0,No,Yes,Backpack,Black,14.104252641918237,144.57467552429742
Puma,Canvas,Large,9.0,No,No,Messenger,Blue,,47.53599974867664
,Leather,Medium,7.0,No,Yes,Tote,,5.0,
Nike,Leather,Medium,4.0,Yes,No,Messenger,Black,6.034557975084931,53.43412550987112
Nike,Nylon,Small,5.0,Yes,Yes,Messenger,Blue,28.13607014634755,55.03788370119748
Jansport,Canvas,Small,6.0,No,Yes,Tote,Red,14.612142115751112,49.06354256134672
,Canvas,Small,7.0,No,No,Backpack,Gray,27.4310736088938,88.20138374858641
Under Armour,Polyester,Large,2.0,No,Yes,Backpack,Black,15.427885356028405,
Jansport,Canvas,Small,10.0,No,No,Messenger,,15.828235097295208,130.80148952448596
Adidas,Leather,Small,1.0,Yes,Yes,Messenger,Black,25.01728160780426,150.0
Under Armour,Canvas,Medium,6.0,Yes,No,Tote,Pink,13.048985755208788,126.14126651062384
Adidas,Leather,Medium,10.0,Yes,No,Backpack,Gray,8.267779684443372,44.67360604123788
Jansport,Polyester,Large,3.0,No,Yes,,Green,6.733680401805123,78.14321731446506
Puma,Leather,Small,3.0,No,No,Backpack,Black,5.0,31.01123990595701
Adidas,Canvas,Large,5.0,No,No,Messenger,Green,12.415289255345712,146.21434545292473
Nike,Nylon,Medium,3.0,No,Yes,Backpack,Blue,24.37524600754022,29.60893471972918
Under Armour,Leather,Medium,4.0,No,No,Backpack,Green,9.695997933183069,140.46544681823124
Adidas,Leather,Medium,3.0,No,No,Backpack,Pink,25.82712094641148,64.80021769562524
Nike,Canvas,Small,6.0,,No,Tote,Green,20.595073198687693,24.90010256968251
Jansport,Polyester,Medium,10.0,No,Yes,Tote,Pink,22.088813627944425,
Nike,Canvas,Medium,9.0,Yes,No,Messenger,Blue,5.0,16.96071724840793
Adidas,Leather,Large,3.0,,Yes,Tote,Gray,18.928343403796397,99.65737191649896
Under Armour,Leather,Small,8.0,Yes,Yes,Tote,Green,27.05350076973613,80.16015072883559
Jansport,Polyester,Medium,6.0,No,Yes,Tote,Black,10.197467782332092,110.00135916262582
Under Armour,,Small,9.0,No,No,Messenger,Green,15.322574391038987,72.84236664206489
Adidas,Canvas,Large,1.0,Yes,No,Tote,Green,8.762501365370136,120.97535578784976
Under Armour,Leather,Large,1.0,Yes,No,Messenger,Pink,,70.83740878634417
Under Armour,Polyester,Large,,Yes,No,Messenger,Pink,6.617784357222583,121.90857150930928
Under Armour,Canvas,Medium,4.0,Yes,No,Backpack,Gray,25.142698276663918,50.64367840800072
Under Armour,Nylon,Small,2.0,Yes,No,Backpack,Gray,18.12997782965377,26.92570920346196
Nike,Leather,Large,8.0,No,Yes,Backpack,Gray,12.190959171150332,112.85247550607558
Adidas,Leather,Small,8.0,No,Yes,Messenger,Black,24.180973179720738,130.17210122192986
Under Armour,Polyester,Medium,7.0,No,No,Backpack,Green,30.0,22.37669717572597
Puma,Leather,Small,10.0,Yes,No,Tote,Green,24.824674811923973,148.18183494416968
Under Armour,Nylon,Large,1.0,Yes,Yes,Backpack,Red,22.32720015620867,49.55038463200705
Under Armour,Canvas,Small,5.0,No,Yes,Backpack,,6.345529131210258,47.40269571458519
Adidas,,Small,2.0,Yes,Yes,Backpack,Red,5.0,82.31956436730701
Under Armour,Canvas,Large,2.0,Yes,No,Messenger,Black,26.467907944882857,134.93158230748858
,Nylon,Medium,8.0,No,,Backpack,Blue,24.81225757322548,56.35243339747869
Adidas,Leather,Medium,9.0,,Yes,Messenger,Blue,23.626777769941587,75.35317165995616
Nike,Polyester,Medium,6.0,No,Yes,Tote,Gray,16.493806410420117,33.68784332476653
Jansport,Canvas,Large,9.0,Yes,No,Backpack,Pink,5.284824421504078,129.91315784569034
Puma,Leather,Small,3.0,No,Yes,Backpack,Black,19.93658930251764,133.16729610995745
Nike,Canvas,Small,7.0,Yes,Yes,Messenger,Red,16.143255424335567,57.49745712726719
Puma,Canvas,Small,4.0,Yes,Yes,Tote,Green,9.369255977880767,37.97441477712753
Jansport,Canvas,Medium,6.0,Yes,Yes,Messenger,Black,22.94394874662401,77.77363991243409
Puma,Nylon,Medium,10.0,Yes,Yes,Messenger,Pink,18.347389478365013,122.54394939183436
Nike,Polyester,Large,8.0,Yes,Yes,Tote,Green,5.605971693136981,26.711905679496248
Under Armour,Canvas,Large,2.0,Yes,Yes,Messenger,Green,5.391935268505167,130.3085473944112
Jansport,Leather,Small,3.0,No,No,Tote,Pink,5.231480888311417,59.05814130222367
Nike,Leather,Small,7.0,Yes,No,Tote,Blue,16.402397960551884,123.1661460535492
,Nylon,Large,4.0,Yes,Yes,Tote,Green,13.059778861803952,139.46697623251472
,Nylon,Medium,5.0,No,Yes,Messenger,Blue,10.07696464457266,29.73514835988391
Puma,Nylon,Large,2.0,No,No,Backpack,Gray,7.393641380398816,93.57518627716748
Under Armour,Nylon,Small,4.0,Yes,Yes,Tote,Red,26.951645519547185,141.04820835568069
Nike,Polyester,Medium,5.0,No,No,Messenger,,22.127836812939734,65.20280912899098
Puma,Leather,Small,8.0,No,Yes,Tote,Red,7.81017439442508,72.3453344101832
Adidas,Nylon,Medium,7.0,No,Yes,Backpack,Pink,15.71652372543447,116.55801793396884
Under Armour,Canvas,Small,1.0,No,No,Tote,Blue,11.232182144307169,123.61394060121542
Under Armour,Leather,Large,6.0,No,Yes,Tote,Gray,10.039884357968164,71.22876290606754
Under Armour,,Large,9.0,No,Yes,Messenger,Green,6.130049006094934,18.840207101769472
Under Armour,Canvas,Medium,9.0,No,No,Backpack,,12.581259355774876,23.66050957469698
Adidas,Polyester,Medium,5.0,Yes,No,,Black,13.964545387295368,18.922420858980185
,Leather,Large,9.0,Yes,Yes,Messenger,Blue,20.09323078516476,95.73988066538212
Jansport,Leather,Small,3.0,Yes,Yes,Tote,Red,30.0,87.03116283840414
Nike,Canvas,,3.0,No,No,Messenger,Gray,10.159637260386996,
Adidas,Nylon,Small,6.0,No,No,Messenger,Black,15.207243714581985,33.15933275250589
Jansport,Nylon,Large,8.0,Yes,Yes,Messenger,Pink,28.62845150828665,46.14491266205663
Jansport,Canvas,Medium,9.0,Yes,Yes,Backpack,Pink,22.43001696583338,50.701440437150175
Adidas,Polyester,Small,3.0,No,No,Messenger,Red,25.311072839300653,77.04923629177307
Under Armour,Polyester,Small,9.0,Yes,Yes,Backpack,Pink,6.046757911314345,23.574263532288864
Puma,Canvas,Large,6.0,No,No,Tote,Black,18.61768581989052,140.80582335649711
Puma,Canvas,Large,8.0,No,,Backpack,Black,20.01354700631021,95.21653074230736
Nike,Leather,Medium,6.0,Yes,Yes,Messenger,,16.70602178470891,84.78996962580457
Under Armour,Leather,Medium,4.0,No,Yes,Tote,Black,27.84126884770029,27.007477843902485
Adidas,Canvas,,8.0,,Yes,Tote,Pink,5.11773534333808,111.3872616160548
Puma,Canvas,Large,5.0,Yes,Yes,Messenger,Gray,26.25975600905488,110.42195920595128
Nike,Canvas,Large,9.0,No,Yes,Messenger,Pink,19.910274351340213,74.56608126957761
Under Armour,Nylon,Small,1.0,Yes,Yes,Backpack,Red,,15.34386556250323
Puma,Nylon,Medium,5.0,No,No,Messenger,Pink,,76.74763096742497
Adidas,Polyester,Medium,4.0,Yes,No,Backpack,Red,6.25311435820875,144.21702994731675
Under Armour,Polyester,Medium,2.0,Yes,Yes,Messenger,Gray,8.308084340261704,84.07538948577742
Under Armour,Polyester,Large,7.0,No,No,Messenger,,18.812852761956535,
Adidas,Nylon,Large,2.0,No,Yes,Tote,Gray,20.087677715400805,37.100652576435394
,Nylon,Small,,Yes,,Tote,Green,12.827338394008711,17.814260967177848
Under Armour,Canvas,,8.0,Yes,No,,Black,10.249973791959276,128.59595730092937
Puma,Nylon,Large,9.0,Yes,Yes,Messenger,,17.597020645769597,136.54357494231303
Under Armour,Nylon,Medium,10.0,No,No,Tote,Black,5.0,43.54566062377977
Nike,Leather,Medium,10.0,Yes,Yes,,Gray,5.334006656784583,123.50647812927656
Under Armour,Polyester,Medium,9.0,Yes,Yes,Backpack,Green,14.589392368031415,123.25996473567898
Under Armour,Leather,Small,3.0,No,No,Messenger,Black,29.23264508696485,59.09596506525754
Nike,Leather,Large,4.0,No,Yes,Tote,Red,15.31060784586551,93.96803405445807
Adidas,Nylon,Medium,2.0,No,No,Backpack,Green,23.263251945683564,22.89281890129381
Adidas,Canvas,Medium,1.0,No,Yes,Backpack,Black,19.575329158326102,25.67038242938993
Puma,Nylon,Large,4.0,No,No,Backpack,,10.245384718628456,
Jansport,Polyester,Medium,1.0,,No,Messenger,Green,19.577027961341237,56.18351148248461
Under Armour,,Large,1.0,Yes,No,Messenger,Black,19.843996900333085,77.49876287559998
Under Armour,Polyester,Small,3.0,Yes,Yes,Tote,,7.541345776306525,74.72061430505404
Puma,Nylon,Small,1.0,No,Yes,Messenger,Black,6.407386111785653,53.62173519659362
Jansport,Polyester,Medium,1.0,Yes,No,Tote,Pink,12.936880650624795,82.05226125851217
Under Armour,Leather,Large,1.0,No,Yes,Tote,Pink,23.00663339180585,127.17484554222686
Under Armour,Nylon,Large,7.0,Yes,Yes,Tote,Red,5.0,130.11352636987203
Under Armour,Canvas,Medium,8.0,Yes,No,Messenger,Blue,18.177006373616862,
Adidas,Nylon,Large,6.0,No,Yes,Tote,Gray,6.556280289417897,16.877120966428134
Nike,Polyester,Large,2.0,No,Yes,Tote,Pink,10.146249166815076,85.5924457248269
Jansport,Nylon,Medium,5.0,Yes,Yes,Tote,Black,18.736499286070543,89.96325422494135
Puma,Leather,Medium,6.0,No,Yes,Messenger,Gray,8.88485727623477,114.21512206835328
Puma,Leather,Medium,4.0,Yes,Yes,Messenger,Gray,10.308076626143691,106.67512782189824
Under Armour,Nylon,Small,8.0,Yes,No,Tote,Blue,20.914774081794494,38.61966294809992
Adidas,Leather,Small,6.0,No,Yes,Tote,Blue,5.0,94.49222609014971
Under Armour,Leather,Small,8.0,Yes,Yes,Messenger,Pink,29.37939668674512,85.07791973491013
Jansport,Canvas,,3.0,No,Yes,Tote,Gray,19.069554017265435,34.693355854362096
Puma,Nylon,Large,1.0,No,Yes,Messenger,Red,11.554590424245108,86.45453090373023
Under Armour,Canvas,,8.0,Yes,No,Tote,Green,8.07058307364535,40.69839834977477
Under Armour,Polyester,Small,9.0,No,No,Messenger,Red,5.0,35.20601126547502
Under Armour,Leather,Medium,9.0,Yes,No,Messenger,Gray,25.7998335645357,27.985294713070346
Under Armour,Leather,Small,4.0,No,Yes,Messenger,Gray,24.26870033005004,99.97861721406544
Puma,Polyester,Small,7.0,Yes,No,Tote,Black,13.15869118383526,88.87950336439516
Jansport,Nylon,Large,5.0,,,Messenger,Green,15.751517326416266,142.5174427376975
Under Armour,Leather,Small,8.0,No,Yes,Tote,Pink,30.0,49.5350590254549
Jansport,Polyester,Large,5.0,Yes,,Backpack,Gray,9.391039337465912,106.23347800920756
Adidas,,Small,6.0,Yes,No,Messenger,Green,12.343599697937762,150.0
,Canvas,Medium,7.0,Yes,No,Tote,Pink,12.74532113118716,138.32928088966852
Jansport,Polyester,Small,,Yes,Yes,Messenger,Blue,14.230894207723075,130.894669470829
Nike,Nylon,Large,2.0,Yes,Yes,Tote,Green,21.33374344924453,28.586526394669093
Jansport,Polyester,Medium,1.0,Yes,Yes,Messenger,Gray,20.082979416551293,142.3838547631673
Under Armour,Polyester,Small,2.0,Yes,No,,Pink,23.86327027165577,22.50123459943485
Jansport,Canvas,Medium,3.0,No,No,,Pink,6.664348996156143,74.42669001146946
Nike,Leather,Small,5.0,Yes,Yes,Tote,Red,14.568444576932404,
Nike,Nylon,Large,1.0,,Yes,Tote,Red,29.42719892104898,86.35205976120726
Nike,Leather,Large,2.0,No,No,Backpack,Black,16.10263752172152,130.74526988560822
Jansport,Nylon,Medium,10.0,No,Yes,Backpack,Pink,20.18207748781008,43.5717799965724
